id,scenario_id,production_line,plant,ref_date,rate,sku_size_shape
1,200,JAC_L1,Jacarei,2026-12-01 06:00:00.000,1581,9.1 Oz Sleek
2,200,JAC_L1,Jacarei,2026-12-02 06:00:00.000,1541,9.1 Oz Sleek
3,200,JAC_L1,Jacarei,2026-12-03 06:00:00.000,1612,9.1 Oz Sleek
4,200,JAC_L1,Jacarei,2026-12-04 06:00:00.000,1511,9.1 Oz Sleek
5,200,JAC_L1,Jacarei,2026-12-05 06:00:00.000,1549,9.1 Oz Sleek
6,200,JAC_L1,Jacarei,2026-12-06 06:00:00.000,1537,9.1 Oz Sleek
7,200,JAC_L1,Jacarei,2026-12-07 06:00:00.000,1615,9.1 Oz Sleek
8,200,JAC_L1,Jacarei,2026-12-08 06:00:00.000,1596,9.1 Oz Sleek
9,200,JAC_L1,Jacarei,2026-12-09 06:00:00.000,1575,9.1 Oz Sleek
10,200,JAC_L1,Jacarei,2026-12-10 06:00:00.000,1541,9.1 Oz Sleek
11,200,JAC_L1,Jacarei,2026-12-11 06:00:00.000,1531,9.1 Oz Sleek
12,200,JAC_L1,Jacarei,2026-12-12 06:00:00.000,1546,9.1 Oz Sleek
13,200,JAC_L1,Jacarei,2026-12-13 06:00:00.000,1547,9.1 Oz Sleek
14,200,JAC_L1,Jacarei,2026-12-14 06:00:00.000,1557,9.1 Oz Sleek
15,200,JAC_L1,Jacarei,2026-12-15 06:00:00.000,1537,9.1 Oz Sleek
16,200,JAC_L2,Jacarei,2026-12-01 06:00:00.000,1377,9.1 Oz Sleek
17,200,JAC_L2,Jacarei,2026-12-02 06:00:00.000,1354,9.1 Oz Sleek
18,200,JAC_L2,Jacarei,2026-12-03 06:00:00.000,1378,9.1 Oz Sleek
19,200,JAC_L2,Jacarei,2026-12-04 06:00:00.000,1391,9.1 Oz Sleek
20,200,JAC_L2,Jacarei,2026-12-05 06:00:00.000,1365,9.1 Oz Sleek
21,200,JAC_L2,Jacarei,2026-12-06 06:00:00.000,1340,9.1 Oz Sleek
22,200,JAC_L2,Jacarei,2026-12-07 06:00:00.000,1347,9.1 Oz Sleek
23,200,JAC_L2,Jacarei,2026-12-08 06:00:00.000,1384,9.1 Oz Sleek
24,200,JAC_L2,Jacarei,2026-12-09 06:00:00.000,1337,9.1 Oz Sleek
25,200,JAC_L2,Jacarei,2026-12-10 06:00:00.000,1318,9.1 Oz Sleek
26,200,JAC_L2,Jacarei,2026-12-11 06:00:00.000,1299,9.1 Oz Sleek
27,200,JAC_L2,Jacarei,2026-12-12 06:00:00.000,1349,9.1 Oz Sleek
28,200,JAC_L2,Jacarei,2026-12-13 06:00:00.000,1371,9.1 Oz Sleek
29,200,JAC_L2,Jacarei,2026-12-14 06:00:00.000,1335,9.1 Oz Sleek
30,200,JAC_L2,Jacarei,2026-12-15 06:00:00.000,1332,9.1 Oz Sleek
31,200,JAC_L3,Jacarei,2026-12-01 06:00:00.000,1362,9.1 Oz Sleek
32,200,JAC_L3,Jacarei,2026-12-02 06:00:00.000,1344,9.1 Oz Sleek
33,200,JAC_L3,Jacarei,2026-12-03 06:00:00.000,1363,9.1 Oz Sleek
34,200,JAC_L3,Jacarei,2026-12-04 06:00:00.000,1362,9.1 Oz Sleek
35,200,JAC_L3,Jacarei,2026-12-05 06:00:00.000,1364,9.1 Oz Sleek
36,200,JAC_L3,Jacarei,2026-12-06 06:00:00.000,1347,9.1 Oz Sleek
37,200,JAC_L3,Jacarei,2026-12-07 06:00:00.000,1331,9.1 Oz Sleek
38,200,JAC_L3,Jacarei,2026-12-08 06:00:00.000,1362,9.1 Oz Sleek
39,200,JAC_L3,Jacarei,2026-12-09 06:00:00.000,1314,9.1 Oz Sleek
40,200,JAC_L3,Jacarei,2026-12-10 06:00:00.000,1237,9.1 Oz Sleek
41,200,JAC_L3,Jacarei,2026-12-11 06:00:00.000,1378,9.1 Oz Sleek
42,200,JAC_L3,Jacarei,2026-12-12 06:00:00.000,1385,9.1 Oz Sleek
43,200,JAC_L3,Jacarei,2026-12-13 06:00:00.000,1362,9.1 Oz Sleek
44,200,JAC_L3,Jacarei,2026-12-14 06:00:00.000,1394,9.1 Oz Sleek
45,200,JAC_L3,Jacarei,2026-12-15 06:00:00.000,1381,9.1 Oz Sleek
46,200,EXT_L1,Extrema,2026-12-01 06:00:00.000,2099,9.1 Oz Sleek
47,200,EXT_L1,Extrema,2026-12-02 06:00:00.000,2090,9.1 Oz Sleek
48,200,EXT_L1,Extrema,2026-12-03 06:00:00.000,2117,9.1 Oz Sleek
49,200,EXT_L1,Extrema,2026-12-04 06:00:00.000,2107,9.1 Oz Sleek
50,200,EXT_L1,Extrema,2026-12-05 06:00:00.000,2084,9.1 Oz Sleek
51,200,EXT_L1,Extrema,2026-12-06 06:00:00.000,2078,9.1 Oz Sleek
52,200,EXT_L1,Extrema,2026-12-07 06:00:00.000,2141,9.1 Oz Sleek
53,200,EXT_L1,Extrema,2026-12-08 06:00:00.000,2073,9.1 Oz Sleek
54,200,EXT_L1,Extrema,2026-12-09 06:00:00.000,2100,9.1 Oz Sleek
55,200,EXT_L1,Extrema,2026-12-10 06:00:00.000,2048,9.1 Oz Sleek
56,200,EXT_L1,Extrema,2026-12-11 06:00:00.000,2107,9.1 Oz Sleek
57,200,EXT_L1,Extrema,2026-12-12 06:00:00.000,2090,9.1 Oz Sleek
58,200,EXT_L1,Extrema,2026-12-13 06:00:00.000,2112,9.1 Oz Sleek
59,200,EXT_L1,Extrema,2026-12-14 06:00:00.000,2099,9.1 Oz Sleek
60,200,EXT_L1,Extrema,2026-12-15 06:00:00.000,2077,9.1 Oz Sleek
61,200,EXT_L2,Extrema,2026-12-01 06:00:00.000,1918,9.1 Oz Sleek
62,200,EXT_L2,Extrema,2026-12-02 06:00:00.000,1894,9.1 Oz Sleek
63,200,EXT_L2,Extrema,2026-12-03 06:00:00.000,1907,9.1 Oz Sleek
64,200,EXT_L2,Extrema,2026-12-04 06:00:00.000,1919,9.1 Oz Sleek
65,200,EXT_L2,Extrema,2026-12-05 06:00:00.000,1923,9.1 Oz Sleek
66,200,EXT_L2,Extrema,2026-12-06 06:00:00.000,1903,9.1 Oz Sleek
67,200,EXT_L2,Extrema,2026-12-07 06:00:00.000,1858,9.1 Oz Sleek
68,200,EXT_L2,Extrema,2026-12-08 06:00:00.000,1910,9.1 Oz Sleek
69,200,EXT_L2,Extrema,2026-12-09 06:00:00.000,1909,9.1 Oz Sleek
70,200,EXT_L2,Extrema,2026-12-10 06:00:00.000,1936,9.1 Oz Sleek
71,200,EXT_L2,Extrema,2026-12-11 06:00:00.000,1871,9.1 Oz Sleek
72,200,EXT_L2,Extrema,2026-12-12 06:00:00.000,1897,9.1 Oz Sleek
73,200,EXT_L2,Extrema,2026-12-13 06:00:00.000,1825,9.1 Oz Sleek
74,200,EXT_L2,Extrema,2026-12-14 06:00:00.000,1904,9.1 Oz Sleek
75,200,EXT_L2,Extrema,2026-12-15 06:00:00.000,1914,9.1 Oz Sleek
76,200,EXT_L3,Extrema,2026-12-01 06:00:00.000,1870,9.1 Oz Sleek
77,200,EXT_L3,Extrema,2026-12-02 06:00:00.000,1870,9.1 Oz Sleek
78,200,EXT_L3,Extrema,2026-12-03 06:00:00.000,1855,9.1 Oz Sleek
79,200,EXT_L3,Extrema,2026-12-04 06:00:00.000,1844,9.1 Oz Sleek
80,200,EXT_L3,Extrema,2026-12-05 06:00:00.000,1900,9.1 Oz Sleek
81,200,EXT_L3,Extrema,2026-12-06 06:00:00.000,1913,9.1 Oz Sleek
82,200,EXT_L3,Extrema,2026-12-07 06:00:00.000,1865,9.1 Oz Sleek
83,200,EXT_L3,Extrema,2026-12-08 06:00:00.000,1851,9.1 Oz Sleek
84,200,EXT_L3,Extrema,2026-12-09 06:00:00.000,1839,9.1 Oz Sleek
85,200,EXT_L3,Extrema,2026-12-10 06:00:00.000,1860,9.1 Oz Sleek
86,200,EXT_L3,Extrema,2026-12-11 06:00:00.000,1831,9.1 Oz Sleek
