id,scenario_id,production_line,plant,customer,order_number,product_id,deadline,prod_need
1,200,FRU_L3,Frutal,,,H2OH_Limao,2026-12-12 06:00:00.000,"1589,69"
2,200,EXT_L3,Extrema,,,Brahma_Lata,2026-12-02 06:00:00.000,"1170,48"
3,200,POU_L1,Pouso Alegre,,,Schweppes_Citrus,2026-12-15 06:00:00.000,"625,66"
4,200,EXT_L1,Extrema,,,Brahma_Lata,2026-12-12 06:00:00.000,"1106,29"
5,200,VIA_L2,Viamao,,,Brahma_Lata,2026-12-10 06:00:00.000,"1788,79"
6,200,EXT_L1,Extrema,,,Sukita_Laranja,2026-12-15 06:00:00.000,"1267,11"
7,200,ALA_L3,Alagoinhas,,,Del_Valle_Uva,2026-12-04 06:00:00.000,"1640,67"
8,200,POU_L1,Pouso Alegre,,,Spaten_Lata,2026-12-12 06:00:00.000,"492,78"
9,200,EXT_L2,Extrema,,,Heineken_Lata,2026-12-12 06:00:00.000,"1078,73"
10,200,JAC_L2,Jacarei,,,Del_Valle_Laranja,2026-12-14 06:00:00.000,"289,74"
11,200,POU_L2,Pouso Alegre,,,Amstel_Lata,2026-12-08 06:00:00.000,"452,12"
12,200,EXT_L2,Extrema,,,Pepsi,2026-12-05 06:00:00.000,"1221,62"
13,200,ITU_L1,Itupeva,,,Coca_Cola,2026-12-06 06:00:00.000,"0,00"
14,200,JAC_L2,Jacarei,,,Spaten_Lata,2026-12-02 06:00:00.000,"869,75"
15,200,JAC_L1,Jacarei,,,Stella_Artois_Pure_Gold,2026-12-15 06:00:00.000,"857,60"
16,200,EXT_L1,Extrema,,,Spaten_Lata,2026-12-07 06:00:00.000,"1244,98"
17,200,CAB_L1,Cabo de Santo Agostinho,,,Itaipava_Lata,2026-12-14 06:00:00.000,"955,02"
18,200,POU_L1,Pouso Alegre,,,Fanta_Uva,2026-12-13 06:00:00.000,"378,84"
19,200,EXT_L1,Extrema,,,Del_Valle_Pessego,2026-12-01 06:00:00.000,"1020,69"
20,200,ALA_L2,Alagoinhas,,,Sprite_Zero,2026-12-05 06:00:00.000,"1536,00"
21,200,GAM_L2,Gama,,,Amstel_Lata,2026-12-06 06:00:00.000,"831,76"
22,200,EXT_L2,Extrema,,,Del_Valle_Pessego,2026-12-02 06:00:00.000,"1246,30"
23,200,CAB_L1,Cabo de Santo Agostinho,,,Skol_Lata,2026-12-03 06:00:00.000,"1060,33"
24,200,ALA_L1,Alagoinhas,,,Guarana_Antarctica,2026-12-09 06:00:00.000,"1771,54"
25,200,FRU_L2,Frutal,,,Eisenbahn_Pilsen,2026-12-04 06:00:00.000,"1496,90"
26,200,EXT_L2,Extrema,,,Coca_Cola,2026-12-15 06:00:00.000,"1221,46"
27,200,POU_L1,Pouso Alegre,,,Kuat,2026-12-10 06:00:00.000,"460,51"
28,200,FRU_L1,Frutal,,,Pepsi_Black,2026-12-14 06:00:00.000,"1364,07"
29,200,ALA_L2,Alagoinhas,,,Sprite,2026-12-13 06:00:00.000,"1334,01"
30,200,TRE_L1,Tres Rios,,,Stella_Artois_Pure_Gold,2026-12-15 06:00:00.000,"785,45"
31,200,EXT_L1,Extrema,,,Skol_Lata,2026-12-05 06:00:00.000,"1345,49"
32,200,ALA_L1,Alagoinhas,,,Heineken_Lata,2026-12-15 06:00:00.000,"2153,02"
33,200,VIA_L1,Viamao,,,Coca_Cola_Zero,2026-12-15 06:00:00.000,"1774,74"
34,200,CAB_L1,Cabo de Santo Agostinho,,,Sprite_Zero,2026-12-10 06:00:00.000,"1124,16"
35,200,ITU_L3,Itupeva,,,Pepsi_Black,2026-12-14 06:00:00.000,"222,87"
36,200,GAM_L2,Gama,,,Del_Valle_Laranja,2026-12-01 06:00:00.000,"932,13"
37,200,VIA_L3,Viamao,,,Del_Valle_Uva,2026-12-06 06:00:00.000,"1589,82"
38,200,GAM_L1,Gama,,,Schweppes_Citrus,2026-12-13 06:00:00.000,"765,23"
39,200,EXT_L3,Extrema,,,Itubaina,2026-12-04 06:00:00.000,"1035,19"
40,200,JAC_L2,Jacarei,,,Guarana_Antarctica,2026-12-11 06:00:00.000,"827,35"
