id,production_line,plant,product_id,production_cost,inventory_cost
1,JAC_L1,Jacarei,H2OH_Limao,10.97,0.3124
2,JAC_L1,Jacarei,Brahma_Lata,7.95,0.3909
3,JAC_L1,Jacarei,Schweppes_Citrus,9.97,0.2716
4,JAC_L1,Jacarei,Sukita_Laranja,12.84,0.401
5,JAC_L1,Jacarei,Del_Valle_Uva,11.02,0.2835
6,JAC_L1,Jacarei,Spaten_Lata,12.4,0.3404
7,JAC_L1,Jacarei,Heineken_Lata,10.66,0.3081
8,JAC_L1,Jacarei,Del_Valle_Laranja,10.74,0.385
9,JAC_L1,Jacarei,Amstel_Lata,11.04,0.3571
10,JAC_L1,Jacarei,Pepsi,10.4,0.2686
11,JAC_L1,Jacarei,Coca_Cola,10.51,0.3582
12,JAC_L1,Jacarei,Stella_Artois_Pure_Gold,9.13,0.3194
13,JAC_L1,Jacarei,Itaipava_Lata,10.96,0.2525
14,JAC_L1,Jacarei,Fanta_Uva,10.68,0.379
15,JAC_L1,Jacarei,Del_Valle_Pessego,10.56,0.3598
16,JAC_L1,Jacarei,Sprite_Zero,11.16,0.3222
17,JAC_L1,Jacarei,Skol_Lata,9.2,0.3455
18,JAC_L1,Jacarei,Guarana_Antarctica,11.07,0.3587
19,JAC_L1,Jacarei,Eisenbahn_Pilsen,10.49,0.4044
20,JAC_L1,Jacarei,Kuat,8.45,0.4127
21,JAC_L1,Jacarei,Pepsi_Black,11.44,0.3477
22,JAC_L1,Jacarei,Sprite,8.74,0.3585
23,JAC_L1,Jacarei,Coca_Cola_Zero,11.83,0.3573
24,JAC_L1,Jacarei,Itubaina,11.03,0.2932
25,JAC_L1,Jacarei,Guarana_Antarctica_Zero,9.75,0.4029
26,JAC_L1,Jacarei,Budweiser_Lata,13.43,0.4465
27,JAC_L1,Jacarei,Fanta_Laranja,9.74,0.3988
28,JAC_L1,Jacarei,Antarctica_Lata,9.71,0.3067
29,JAC_L1,Jacarei,Maguary_Caju,9.38,0.261
30,JAC_L1,Jacarei,Maguary_Maracuja,9.13,0.2955
31,JAC_L2,Jacarei,H2OH_Limao,10.77,0.413
32,JAC_L2,Jacarei,Brahma_Lata,10.58,0.3865
33,JAC_L2,Jacarei,Schweppes_Citrus,12.21,0.3988
34,JAC_L2,Jacarei,Sukita_Laranja,10.51,0.3785
