cenario,produto,plant,linha,periodo,pi_demanda,saturado,unidade
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,1,-999999.7065509501,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,2,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,3,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,4,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,5,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,6,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,7,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,8,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,9,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,10,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,11,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,12,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,13,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,14,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L1,15,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,1,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,2,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,3,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,4,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,5,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,6,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,7,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,8,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,9,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,10,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,11,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,12,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,13,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,14,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L2,15,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L3,1,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L3,2,-0.0,false,lata
110,Guarana_Antarctica_Zero,Jacarei,JAC_L3,3,-0.0,false,lata
