cenario,plant,linha,periodo,mu_hora_maquina,gamma_armazenagem,unidade
135,Jacarei,JAC_L1,1,-1.7539864140031736e9,0.0,lata
135,Jacarei,JAC_L1,2,-1.5959862707839425e9,0.0,lata
135,Jacarei,JAC_L1,3,-1.4979875205129812e9,0.0,lata
135,Jacarei,JAC_L1,4,-1.626986887574706e9,0.0,lata
135,Jacarei,JAC_L1,5,-1.45498581985227e9,0.0,lata
135,Jacarei,JAC_L1,6,-1.4989857980153062e9,0.0,lata
135,Jacarei,JAC_L1,7,-1.620985082251474e9,0.0,lata
135,Jacarei,JAC_L1,8,-1.592985772429542e9,0.0,lata
135,Jacarei,JAC_L1,9,-1.581986286728043e9,0.0,lata
135,Jacarei,JAC_L1,10,-1.49998517194245e9,0.0,lata
135,Jacarei,JAC_L1,11,-1.628984339003001e9,0.0,lata
135,Jacarei,JAC_L1,12,-1.6029850241781647e9,0.0,lata
135,Jacarei,JAC_L1,13,-1.5399860308575819e9,0.0,lata
135,Jacarei,JAC_L1,14,-1.565986220183918e9,0.0,lata
135,Jacarei,JAC_L1,15,-1.6139836570842886e9,0.0,lata
135,Jacarei,JAC_L2,1,-1.6699848543062408e9,0.0,lata
135,Jacarei,JAC_L2,2,-1.5299865381328201e9,0.0,lata
135,Jacarei,JAC_L2,3,-1.7329835711600003e9,0.0,lata
135,Jacarei,JAC_L2,4,-1.7499838742749999e9,0.0,lata
135,Jacarei,JAC_L2,5,-1.6489852512973335e9,0.0,lata
135,Jacarei,JAC_L2,6,-1.6539854917038012e9,0.0,lata
135,Jacarei,JAC_L2,7,-1.7379847704519925e9,0.0,lata
135,Jacarei,JAC_L2,8,-1.5289857782459414e9,0.0,lata
135,Jacarei,JAC_L2,9,-1.59998554233056e9,0.0,lata
135,Jacarei,JAC_L2,10,-1.6109858789861913e9,0.0,lata
135,Jacarei,JAC_L2,11,-1.635985355879582e9,0.0,lata
135,Jacarei,JAC_L2,12,-1.7279848580788512e9,0.0,lata
135,Jacarei,JAC_L2,13,-1.6019848044345365e9,0.0,lata
135,Jacarei,JAC_L2,14,-1.5829854131299e9,0.0,lata
135,Jacarei,JAC_L2,15,-1.5949854938025334e9,0.0,lata
135,Jacarei,JAC_L3,1,-1.6319854443059952e9,0.0,lata
135,Jacarei,JAC_L3,2,-1.5959837727214706e9,0.0,lata
135,Jacarei,JAC_L3,3,-1.6619835547297993e9,0.0,lata
135,Jacarei,JAC_L3,4,-1.624984363814906e9,0.0,lata
135,Jacarei,JAC_L3,5,-1.692984200470699e9,0.0,lata
135,Jacarei,JAC_L3,6,-1.3899874312478273e9,0.0,lata
135,Jacarei,JAC_L3,7,-1.6139858441341815e9,0.0,lata
135,Jacarei,JAC_L3,8,-1.6379860542160752e9,0.0,lata
135,Jacarei,JAC_L3,9,-1.6069863828377807e9,0.0,lata
135,Jacarei,JAC_L3,10,-1.6659863370437863e9,0.0,lata
135,Jacarei,JAC_L3,11,-1.57498752819555e9,0.0,lata
135,Jacarei,JAC_L3,12,-1.5469851185914216e9,0.0,lata
135,Jacarei,JAC_L3,13,-1.5259848271750393e9,0.0,lata
135,Jacarei,JAC_L3,14,-1.638984151336542e9,0.0,lata
135,Jacarei,JAC_L3,15,-1.6489845328493886e9,0.0,lata
135,Extrema,EXT_L1,1,-1.5319859415605595e9,0.0,lata
135,Extrema,EXT_L1,2,-1.6209849544926023e9,0.0,lata
135,Extrema,EXT_L1,3,-1.5659856947466e9,0.0,lata
135,Extrema,EXT_L1,4,-1.4599870352e9,0.0,lata
135,Extrema,EXT_L1,5,-1.7109852460983298e9,0.0,lata
135,Extrema,EXT_L1,6,-1.5019873480501208e9,0.0,lata
135,Extrema,EXT_L1,7,-1.684985621322437e9,0.0,lata
135,Extrema,EXT_L1,8,-1.5459862169291167e9,0.0,lata
135,Extrema,EXT_L1,9,-1.5379865872171192e9,0.0,lata
135,Extrema,EXT_L1,10,-1.7149854820395694e9,0.0,lata
135,Extrema,EXT_L1,11,-1.7419852527125373e9,0.0,lata
135,Extrema,EXT_L1,12,-1.5899855043997772e9,0.0,lata
135,Extrema,EXT_L1,13,-1.627985573306246e9,0.0,lata
135,Extrema,EXT_L1,14,-1.6289859844387968e9,0.0,lata
135,Extrema,EXT_L1,15,-1.6449841853798518e9,0.0,lata
135,Extrema,EXT_L2,1,-1.560986617620367e9,0.0,lata
135,Extrema,EXT_L2,2,-1.6809855267805412e9,0.0,lata
135,Extrema,EXT_L2,3,-1.71098458389e9,0.0,lata
135,Extrema,EXT_L2,4,-1.5199867452985837e9,0.0,lata
135,Extrema,EXT_L2,5,-1.595986300129116e9,0.0,lata
135,Extrema,EXT_L2,6,-1.6649848563537216e9,0.0,lata
135,Extrema,EXT_L2,7,-1.6189857329819016e9,0.0,lata
135,Extrema,EXT_L2,8,-1.675984843684287e9,0.0,lata
135,Extrema,EXT_L2,9,-1.7189849401026316e9,0.0,lata
135,Extrema,EXT_L2,10,-1.7119845748800004e9,0.0,lata
135,Extrema,EXT_L2,11,-1.5899856698294983e9,0.0,lata
135,Extrema,EXT_L2,12,-1.6989847475503104e9,0.0,lata
135,Extrema,EXT_L2,13,-1.5289867167998095e9,0.0,lata
135,Extrema,EXT_L2,14,-1.5369866968299522e9,0.0,lata
135,Extrema,EXT_L2,15,-1.6499848367561624e9,0.0,lata
135,Extrema,EXT_L3,1,-1.6489834548503494e9,0.0,lata
135,Extrema,EXT_L3,2,-1.6059842738162544e9,0.0,lata
135,Extrema,EXT_L3,3,-1.5829849570729823e9,0.0,lata
135,Extrema,EXT_L3,4,-1.5819850897677007e9,0.0,lata
135,Extrema,EXT_L3,5,-1.5889851790223932e9,0.0,lata
135,Extrema,EXT_L3,6,-1.526985626420769e9,0.0,lata
135,Extrema,EXT_L3,7,-1.586984823003225e9,0.0,lata
135,Extrema,EXT_L3,8,-1.585985224251692e9,0.0,lata
135,Extrema,EXT_L3,9,-1.7009835611073484e9,0.0,lata
135,Extrema,EXT_L3,10,-1.620984756947654e9,0.0,lata
135,Extrema,EXT_L3,11,-1.4339866886284912e9,0.0,lata
135,Extrema,EXT_L3,12,-1.6239847907803268e9,0.0,lata
135,Extrema,EXT_L3,13,-1.5849852279796596e9,0.0,lata
135,Extrema,EXT_L3,14,-1.6059850682136347e9,0.0,lata
135,Extrema,EXT_L3,15,-1.5939851991175103e9,0.0,lata
135,Tres Rios,TRE_L1,1,-1.6739837927455618e9,0.0,lata
135,Tres Rios,TRE_L1,2,-1.515985337667174e9,0.0,lata
135,Tres Rios,TRE_L1,3,-1.6449845648532226e9,0.0,lata
