cenario,plant,linha,periodo,mu_hora_maquina,gamma_armazenagem,unidade
140,Jacarei,JAC_L1,1,-1.6799841815866196e9,0.0,lata
140,Jacarei,JAC_L1,2,-1.5629853797700543e9,0.0,lata
140,Jacarei,JAC_L1,3,-1.480986367750366e9,0.0,lata
140,Jacarei,JAC_L1,4,-1.63998401228616e9,0.0,lata
140,Jacarei,JAC_L1,5,-1.4499859751453526e9,0.0,lata
140,Jacarei,JAC_L1,6,-1.5339855630450144e9,0.0,lata
140,Jacarei,JAC_L1,7,-1.5999852228444e9,0.0,lata
140,Jacarei,JAC_L1,8,-1.6069844992079973e9,0.0,lata
140,Jacarei,JAC_L1,9,-1.6329846746303365e9,0.0,lata
140,Jacarei,JAC_L1,10,-1.5619852507028484e9,0.0,lata
140,Jacarei,JAC_L1,11,-1.4689862137874866e9,0.0,lata
140,Jacarei,JAC_L1,12,-1.5129860731456947e9,0.0,lata
140,Jacarei,JAC_L1,13,-1.62098479502e9,0.0,lata
140,Jacarei,JAC_L1,14,-1.6569842913696604e9,0.0,lata
140,Jacarei,JAC_L1,15,-1.6029849579547882e9,0.0,lata
140,Jacarei,JAC_L2,1,-1.569987560451185e9,0.0,lata
140,Jacarei,JAC_L2,2,-1.7419860705527072e9,0.0,lata
140,Jacarei,JAC_L2,3,-1.6339863331565154e9,0.0,lata
140,Jacarei,JAC_L2,4,-1.7149843325815706e9,0.0,lata
140,Jacarei,JAC_L2,5,-1.6469854226312745e9,0.0,lata
140,Jacarei,JAC_L2,6,-1.6879855465444787e9,0.0,lata
140,Jacarei,JAC_L2,7,-1.5599871150651062e9,0.0,lata
140,Jacarei,JAC_L2,8,-1.5339877958107002e9,0.0,lata
140,Jacarei,JAC_L2,9,-1.6449861959389076e9,0.0,lata
140,Jacarei,JAC_L2,10,-1.6239866535267591e9,0.0,lata
140,Jacarei,JAC_L2,11,-1.6229871533517308e9,0.0,lata
140,Jacarei,JAC_L2,12,-1.6209871686180422e9,0.0,lata
140,Jacarei,JAC_L2,13,-1.629987097944129e9,0.0,lata
140,Jacarei,JAC_L2,14,-1.5469862338173018e9,0.0,lata
140,Jacarei,JAC_L2,15,-1.59998586832832e9,0.0,lata
140,Jacarei,JAC_L3,1,-1.556986772298796e9,0.0,lata
140,Jacarei,JAC_L3,2,-1.621986699360674e9,0.0,lata
140,Jacarei,JAC_L3,3,-1.628985738400908e9,0.0,lata
140,Jacarei,JAC_L3,4,-1.462987527941532e9,0.0,lata
140,Jacarei,JAC_L3,5,-1.5179862532920327e9,0.0,lata
140,Jacarei,JAC_L3,6,-1.4579872475407434e9,0.0,lata
140,Jacarei,JAC_L3,7,-1.7239853035381386e9,0.0,lata
140,Jacarei,JAC_L3,8,-1.7209853494369524e9,0.0,lata
140,Jacarei,JAC_L3,9,-1.4879877668339403e9,0.0,lata
140,Jacarei,JAC_L3,10,-1.4309882062617426e9,0.0,lata
