id,scenario_id,production_line,plant,ref_date,rate,sku_size_shape
1,200,JAC_L1,Jacarei,2026-12-01 06:00:00.000,1626,12 Oz Standard
2,200,JAC_L1,Jacarei,2026-12-02 06:00:00.000,1556,12 Oz Standard
3,200,JAC_L1,Jacarei,2026-12-03 06:00:00.000,1734,12 Oz Standard
4,200,JAC_L1,Jacarei,2026-12-04 06:00:00.000,1485,12 Oz Standard
5,200,JAC_L1,Jacarei,2026-12-05 06:00:00.000,1573,12 Oz Standard
6,200,JAC_L1,Jacarei,2026-12-06 06:00:00.000,1513,12 Oz Standard
7,200,JAC_L1,Jacarei,2026-12-07 06:00:00.000,1544,12 Oz Standard
8,200,JAC_L1,Jacarei,2026-12-08 06:00:00.000,1695,12 Oz Standard
9,200,JAC_L1,Jacarei,2026-12-09 06:00:00.000,1676,12 Oz Standard
10,200,JAC_L1,Jacarei,2026-12-10 06:00:00.000,1616,12 Oz Standard
11,200,JAC_L1,Jacarei,2026-12-11 06:00:00.000,1606,12 Oz Standard
12,200,JAC_L1,Jacarei,2026-12-12 06:00:00.000,1595,12 Oz Standard
13,200,JAC_L1,Jacarei,2026-12-13 06:00:00.000,1427,12 Oz Standard
14,200,JAC_L1,Jacarei,2026-12-14 06:00:00.000,1622,12 Oz Standard
15,200,JAC_L1,Jacarei,2026-12-15 06:00:00.000,1513,12 Oz Standard
16,200,JAC_L2,Jacarei,2026-12-01 06:00:00.000,1590,12 Oz Standard
17,200,JAC_L2,Jacarei,2026-12-02 06:00:00.000,1471,12 Oz Standard
18,200,JAC_L2,Jacarei,2026-12-03 06:00:00.000,1654,12 Oz Standard
19,200,JAC_L2,Jacarei,2026-12-04 06:00:00.000,1583,12 Oz Standard
20,200,JAC_L2,Jacarei,2026-12-05 06:00:00.000,1524,12 Oz Standard
21,200,JAC_L2,Jacarei,2026-12-06 06:00:00.000,1647,12 Oz Standard
22,200,JAC_L2,Jacarei,2026-12-07 06:00:00.000,1505,12 Oz Standard
23,200,JAC_L2,Jacarei,2026-12-08 06:00:00.000,1673,12 Oz Standard
24,200,JAC_L2,Jacarei,2026-12-09 06:00:00.000,1713,12 Oz Standard
25,200,JAC_L2,Jacarei,2026-12-10 06:00:00.000,1654,12 Oz Standard
26,200,JAC_L2,Jacarei,2026-12-11 06:00:00.000,1529,12 Oz Standard
27,200,JAC_L2,Jacarei,2026-12-12 06:00:00.000,1660,12 Oz Standard
28,200,JAC_L2,Jacarei,2026-12-13 06:00:00.000,1466,12 Oz Standard
