id,production_line,plant,product_id,production_cost,inventory_cost
1,JAC_L1,Jacarei,H2OH_Limao,9.58,0.4318
2,JAC_L1,Jacarei,Brahma_Lata,8.32,0.3374
3,JAC_L1,Jacarei,Schweppes_Citrus,13.17,0.3392
4,JAC_L1,Jacarei,Sukita_Laranja,10.69,0.3196
5,JAC_L1,Jacarei,Del_Valle_Uva,11.88,0.3893
6,JAC_L1,Jacarei,Spaten_Lata,9.12,0.373
7,JAC_L1,Jacarei,Heineken_Lata,10.08,0.3175
8,JAC_L1,Jacarei,Del_Valle_Laranja,8.33,0.421
9,JAC_L1,Jacarei,Amstel_Lata,12.05,0.4529
10,JAC_L1,Jacarei,Pepsi,9.27,0.3529
11,JAC_L1,Jacarei,Coca_Cola,9.38,0.3314
12,JAC_L1,Jacarei,Stella_Artois_Pure_Gold,11.55,0.3533
13,JAC_L1,Jacarei,Itaipava_Lata,10.78,0.3849
14,JAC_L1,Jacarei,Fanta_Uva,11.32,0.3064
15,JAC_L1,Jacarei,Del_Valle_Pessego,10.76,0.3939
16,JAC_L1,Jacarei,Sprite_Zero,10.62,0.3288
17,JAC_L1,Jacarei,Skol_Lata,10.55,0.3531
18,JAC_L1,Jacarei,Guarana_Antarctica,8.94,0.4056
19,JAC_L1,Jacarei,Eisenbahn_Pilsen,10.67,0.3384
20,JAC_L1,Jacarei,Kuat,10.0,0.3236
21,JAC_L1,Jacarei,Pepsi_Black,10.84,0.3329
22,JAC_L1,Jacarei,Sprite,10.88,0.3612
23,JAC_L1,Jacarei,Coca_Cola_Zero,12.32,0.3297
24,JAC_L1,Jacarei,Itubaina,11.31,0.3277
25,JAC_L1,Jacarei,Guarana_Antarctica_Zero,9.15,0.3478
26,JAC_L1,Jacarei,Budweiser_Lata,9.26,0.3266
27,JAC_L1,Jacarei,Fanta_Laranja,10.94,0.3126
28,JAC_L1,Jacarei,Antarctica_Lata,10.21,0.3071
29,JAC_L1,Jacarei,Maguary_Caju,10.62,0.3236
30,JAC_L1,Jacarei,Maguary_Maracuja,11.63,0.3719
31,JAC_L2,Jacarei,H2OH_Limao,11.13,0.3318
32,JAC_L2,Jacarei,Brahma_Lata,10.8,0.3779
33,JAC_L2,Jacarei,Schweppes_Citrus,10.35,0.416
34,JAC_L2,Jacarei,Sukita_Laranja,8.06,0.3517
35,JAC_L2,Jacarei,Del_Valle_Uva,10.73,0.3372
36,JAC_L2,Jacarei,Spaten_Lata,9.67,0.3644
37,JAC_L2,Jacarei,Heineken_Lata,9.27,0.342
38,JAC_L2,Jacarei,Del_Valle_Laranja,9.18,0.3605
39,JAC_L2,Jacarei,Amstel_Lata,11.25,0.3976
40,JAC_L2,Jacarei,Pepsi,11.68,0.3192
41,JAC_L2,Jacarei,Coca_Cola,10.91,0.2845
42,JAC_L2,Jacarei,Stella_Artois_Pure_Gold,9.07,0.342
43,JAC_L2,Jacarei,Itaipava_Lata,10.47,0.3038
44,JAC_L2,Jacarei,Fanta_Uva,9.65,0.2782
45,JAC_L2,Jacarei,Del_Valle_Pessego,9.53,0.3527
46,JAC_L2,Jacarei,Sprite_Zero,7.4,0.2864
47,JAC_L2,Jacarei,Skol_Lata,9.68,0.3813
48,JAC_L2,Jacarei,Guarana_Antarctica,11.14,0.3171
49,JAC_L2,Jacarei,Eisenbahn_Pilsen,8.85,0.3644
50,JAC_L2,Jacarei,Kuat,11.21,0.3414
