id,production_line,plant,storage_limit
1,JAC_L1,Jacarei,170913
2,JAC_L2,Jacarei,154475
3,JAC_L3,Jacarei,155212
4,EXT_L1,Extrema,147644
5,EXT_L2,Extrema,150155
6,EXT_L3,Extrema,119877
7,TRE_L1,Tres Rios,163954
8,TRE_L2,Tres Rios,128242
9,TRE_L3,Tres Rios,146537
10,ALA_L1,Alagoinhas,153728
11,ALA_L2,Alagoinhas,133522
12,ALA_L3,Alagoinhas,165066
13,FRU_L1,Frutal,161561
14,FRU_L2,Frutal,147301
15,FRU_L3,Frutal,140708
16,POU_L1,Pouso Alegre,157432
17,POU_L2,Pouso Alegre,152483
18,POU_L3,Pouso Alegre,159472
19,GAM_L1,Gama,149840
20,GAM_L2,Gama,146432
21,GAM_L3,Gama,165210
22,VIA_L1,Viamao,147255
23,VIA_L2,Viamao,176264
24,VIA_L3,Viamao,137768
25,ITU_L1,Itupeva,139364
26,ITU_L2,Itupeva,150421
27,ITU_L3,Itupeva,143773
28,CAB_L1,Cabo de Santo Agostinho,158741
29,CAB_L2,Cabo de Santo Agostinho,157739
30,CAB_L3,Cabo de Santo Agostinho,166434
