id,production_line,plant,product_id,production_cost,inventory_cost
1,JAC_L1,Jacarei,H2OH_Limao,11.85,0.3267
2,JAC_L1,Jacarei,Brahma_Lata,11.61,0.3436
3,JAC_L1,Jacarei,Schweppes_Citrus,11.56,0.4065
4,JAC_L1,Jacarei,Sukita_Laranja,9.45,0.3845
5,JAC_L1,Jacarei,Del_Valle_Uva,9.81,0.3426
6,JAC_L1,Jacarei,Spaten_Lata,10.93,0.3611
7,JAC_L1,Jacarei,Heineken_Lata,12.77,0.4041
8,JAC_L1,Jacarei,Del_Valle_Laranja,9.8,0.3912
9,JAC_L1,Jacarei,Amstel_Lata,10.33,0.302
10,JAC_L1,Jacarei,Pepsi,11.01,0.3359
11,JAC_L1,Jacarei,Coca_Cola,10.11,0.3664
12,JAC_L1,Jacarei,Stella_Artois_Pure_Gold,10.69,0.4119
13,JAC_L1,Jacarei,Itaipava_Lata,10.91,0.3899
14,JAC_L1,Jacarei,Fanta_Uva,11.01,0.3669
15,JAC_L1,Jacarei,Del_Valle_Pessego,9.83,0.3669
16,JAC_L1,Jacarei,Sprite_Zero,11.96,0.3784
17,JAC_L1,Jacarei,Skol_Lata,9.64,0.3817
18,JAC_L1,Jacarei,Guarana_Antarctica,10.07,0.3411
19,JAC_L1,Jacarei,Eisenbahn_Pilsen,8.59,0.3402
20,JAC_L1,Jacarei,Kuat,11.51,0.3093
21,JAC_L1,Jacarei,Pepsi_Black,9.71,0.335
22,JAC_L1,Jacarei,Sprite,10.4,0.3839
23,JAC_L1,Jacarei,Coca_Cola_Zero,12.38,0.325
24,JAC_L1,Jacarei,Itubaina,11.37,0.3846
25,JAC_L1,Jacarei,Guarana_Antarctica_Zero,10.96,0.32
26,JAC_L1,Jacarei,Budweiser_Lata,10.87,0.3296
27,JAC_L1,Jacarei,Fanta_Laranja,10.0,0.3876
28,JAC_L1,Jacarei,Antarctica_Lata,12.55,0.3731
29,JAC_L1,Jacarei,Maguary_Caju,8.41,0.4098
30,JAC_L1,Jacarei,Maguary_Maracuja,11.46,0.3655
31,JAC_L2,Jacarei,H2OH_Limao,8.35,0.2447
32,JAC_L2,Jacarei,Brahma_Lata,11.33,0.2732
33,JAC_L2,Jacarei,Schweppes_Citrus,9.67,0.2643
34,JAC_L2,Jacarei,Sukita_Laranja,9.88,0.324
35,JAC_L2,Jacarei,Del_Valle_Uva,11.41,0.3664
36,JAC_L2,Jacarei,Spaten_Lata,10.03,0.34
37,JAC_L2,Jacarei,Heineken_Lata,12.23,0.4235
38,JAC_L2,Jacarei,Del_Valle_Laranja,11.69,0.318
39,JAC_L2,Jacarei,Amstel_Lata,9.08,0.3278
40,JAC_L2,Jacarei,Pepsi,13.02,0.357
41,JAC_L2,Jacarei,Coca_Cola,11.41,0.3797
42,JAC_L2,Jacarei,Stella_Artois_Pure_Gold,8.11,0.3192
43,JAC_L2,Jacarei,Itaipava_Lata,12.05,0.311
44,JAC_L2,Jacarei,Fanta_Uva,10.52,0.3539
45,JAC_L2,Jacarei,Del_Valle_Pessego,10.4,0.3576
46,JAC_L2,Jacarei,Sprite_Zero,9.83,0.3489
47,JAC_L2,Jacarei,Skol_Lata,9.71,0.3761
48,JAC_L2,Jacarei,Guarana_Antarctica,8.08,0.4017
49,JAC_L2,Jacarei,Eisenbahn_Pilsen,12.08,0.3276
50,JAC_L2,Jacarei,Kuat,9.85,0.4202
51,JAC_L2,Jacarei,Pepsi_Black,10.37,0.3779
52,JAC_L2,Jacarei,Sprite,10.47,0.3093
53,JAC_L2,Jacarei,Coca_Cola_Zero,12.08,0.3869
54,JAC_L2,Jacarei,Itubaina,13.17,0.3023
55,JAC_L2,Jacarei,Guarana_Antarctica_Zero,11.48,0.3015
56,JAC_L2,Jacarei,Budweiser_Lata,12.1,0.2807
57,JAC_L2,Jacarei,Fanta_Laranja,12.96,0.3654
58,JAC_L2,Jacarei,Antarctica_Lata,9.16,0.2998
59,JAC_L2,Jacarei,Maguary_Caju,12.18,0.336
60,JAC_L2,Jacarei,Maguary_Maracuja,10.1,0.4021
61,JAC_L3,Jacarei,H2OH_Limao,8.7,0.2473
62,JAC_L3,Jacarei,Brahma_Lata,10.8,0.3145
63,JAC_L3,Jacarei,Schweppes_Citrus,9.37,0.3663
