id,production_line,plant,product_id,production_cost,inventory_cost
1,JAC_L1,Jacarei,H2OH_Limao,10.67,0.4125
2,JAC_L1,Jacarei,Brahma_Lata,11.67,0.3179
3,JAC_L1,Jacarei,Schweppes_Citrus,11.6,0.4032
4,JAC_L1,Jacarei,Sukita_Laranja,11.15,0.2822
5,JAC_L1,Jacarei,Del_Valle_Uva,10.3,0.3561
6,JAC_L1,Jacarei,Spaten_Lata,8.74,0.3061
7,JAC_L1,Jacarei,Heineken_Lata,8.78,0.3055
8,JAC_L1,Jacarei,Del_Valle_Laranja,11.23,0.3373
9,JAC_L1,Jacarei,Amstel_Lata,10.2,0.3398
10,JAC_L1,Jacarei,Pepsi,9.25,0.3844
11,JAC_L1,Jacarei,Coca_Cola,9.39,0.2757
12,JAC_L1,Jacarei,Stella_Artois_Pure_Gold,8.64,0.3727
13,JAC_L1,Jacarei,Itaipava_Lata,9.5,0.3189
14,JAC_L1,Jacarei,Fanta_Uva,9.66,0.3776
15,JAC_L1,Jacarei,Del_Valle_Pessego,12.42,0.3282
16,JAC_L1,Jacarei,Sprite_Zero,10.66,0.3682
17,JAC_L1,Jacarei,Skol_Lata,11.49,0.4078
18,JAC_L1,Jacarei,Guarana_Antarctica,9.28,0.2804
19,JAC_L1,Jacarei,Eisenbahn_Pilsen,8.48,0.3599
20,JAC_L1,Jacarei,Kuat,10.56,0.3628
21,JAC_L1,Jacarei,Pepsi_Black,10.14,0.3392
22,JAC_L1,Jacarei,Sprite,10.4,0.363
23,JAC_L1,Jacarei,Coca_Cola_Zero,10.76,0.4063
24,JAC_L1,Jacarei,Itubaina,9.37,0.2825
25,JAC_L1,Jacarei,Guarana_Antarctica_Zero,8.84,0.3411
26,JAC_L1,Jacarei,Budweiser_Lata,11.8,0.309
27,JAC_L1,Jacarei,Fanta_Laranja,10.45,0.3732
28,JAC_L1,Jacarei,Antarctica_Lata,9.93,0.3382
29,JAC_L1,Jacarei,Maguary_Caju,11.05,0.3767
30,JAC_L1,Jacarei,Maguary_Maracuja,9.29,0.3518
31,JAC_L2,Jacarei,H2OH_Limao,8.1,0.3072
32,JAC_L2,Jacarei,Brahma_Lata,9.54,0.344
33,JAC_L2,Jacarei,Schweppes_Citrus,8.84,0.2905
34,JAC_L2,Jacarei,Sukita_Laranja,9.74,0.3966
35,JAC_L2,Jacarei,Del_Valle_Uva,10.17,0.3727
36,JAC_L2,Jacarei,Spaten_Lata,12.04,0.3321
37,JAC_L2,Jacarei,Heineken_Lata,10.46,0.3071
38,JAC_L2,Jacarei,Del_Valle_Laranja,8.33,0.3126
39,JAC_L2,Jacarei,Amstel_Lata,9.39,0.3797
40,JAC_L2,Jacarei,Pepsi,12.06,0.3825
41,JAC_L2,Jacarei,Coca_Cola,11.95,0.3623
42,JAC_L2,Jacarei,Stella_Artois_Pure_Gold,11.56,0.3588
43,JAC_L2,Jacarei,Itaipava_Lata,8.88,0.3337
44,JAC_L2,Jacarei,Fanta_Uva,11.43,0.3647
45,JAC_L2,Jacarei,Del_Valle_Pessego,9.45,0.2872
46,JAC_L2,Jacarei,Sprite_Zero,11.09,0.3681
47,JAC_L2,Jacarei,Skol_Lata,10.48,0.4441
48,JAC_L2,Jacarei,Guarana_Antarctica,14.38,0.3851
49,JAC_L2,Jacarei,Eisenbahn_Pilsen,7.22,0.3099
50,JAC_L2,Jacarei,Kuat,11.63,0.3742
51,JAC_L2,Jacarei,Pepsi_Black,10.02,0.3316
52,JAC_L2,Jacarei,Sprite,8.74,0.394
53,JAC_L2,Jacarei,Coca_Cola_Zero,10.82,0.3038
54,JAC_L2,Jacarei,Itubaina,11.27,0.3256
55,JAC_L2,Jacarei,Guarana_Antarctica_Zero,10.93,0.3738
56,JAC_L2,Jacarei,Budweiser_Lata,11.35,0.341
57,JAC_L2,Jacarei,Fanta_Laranja,11.52,0.3107
58,JAC_L2,Jacarei,Antarctica_Lata,9.33,0.3897
59,JAC_L2,Jacarei,Maguary_Caju,10.94,0.3142
60,JAC_L2,Jacarei,Maguary_Maracuja,11.17,0.344
61,JAC_L3,Jacarei,H2OH_Limao,7.65,0.4163
62,JAC_L3,Jacarei,Brahma_Lata,9.81,0.3436
