id,scenario_id,production_line,plant,customer,order_number,product_id,sku_size_shape,deadline,prod_need
1,200,JAC_L1,Jacarei,,,Stella_Artois_Pure_Gold,12 Oz Standard,2026-12-01 06:00:00.000,"40634,1"
2,200,JAC_L1,Jacarei,,,Schweppes_Citrus,12 Oz Standard,2026-12-01 06:00:00.000,"12500,58"
3,200,JAC_L1,Jacarei,,,Amstel_Lata,12 Oz Standard,2026-12-02 06:00:00.000,"16536,99"
4,200,JAC_L1,Jacarei,,,Fanta_Laranja,12 Oz Standard,2026-12-02 06:00:00.000,"14564,3"
5,200,JAC_L1,Jacarei,,,Maguary_Maracuja,9.1 Oz Sleek,2026-12-02 06:00:00.000,"16584,56"
6,200,JAC_L1,Jacarei,,,Sprite_Zero,12 Oz Standard,2026-12-03 06:00:00.000,"18716,94"
7,200,JAC_L1,Jacarei,,,Sprite,12 Oz Standard,2026-12-03 06:00:00.000,"7222,55"
8,200,JAC_L1,Jacarei,,,Coca_Cola,16 Oz Tall,2026-12-03 06:00:00.000,"20369,45"
9,200,JAC_L1,Jacarei,,,H2OH_Limao,12 Oz Standard,2026-12-04 06:00:00.000,"21615,07"
10,200,JAC_L1,Jacarei,,,Brahma_Lata,9.1 Oz Sleek,2026-12-04 06:00:00.000,"26328,02"
11,200,JAC_L1,Jacarei,,,Maguary_Caju,12 Oz Standard,2026-12-05 06:00:00.000,"47727,89"
12,200,JAC_L1,Jacarei,,,Heineken_Lata,12 Oz Standard,2026-12-06 06:00:00.000,"9875,95"
13,200,JAC_L1,Jacarei,,,Skol_Lata,12 Oz Standard,2026-12-06 06:00:00.000,"44585,49"
14,200,JAC_L1,Jacarei,,,Stella_Artois_Pure_Gold,12 Oz Standard,2026-12-07 06:00:00.000,"22160,7"
15,200,JAC_L1,Jacarei,,,Itubaina,9.1 Oz Sleek,2026-12-07 06:00:00.000,"12538,24"
16,200,JAC_L1,Jacarei,,,Maguary_Caju,12 Oz Standard,2026-12-07 06:00:00.000,"12386,98"
17,200,JAC_L1,Jacarei,,,Sukita_Laranja,12 Oz Standard,2026-12-08 06:00:00.000,"20159,88"
18,200,JAC_L1,Jacarei,,,Coca_Cola_Zero,12 Oz Standard,2026-12-08 06:00:00.000,"25217,34"
19,200,JAC_L1,Jacarei,,,Maguary_Maracuja,12 Oz Standard,2026-12-09 06:00:00.000,"8883,99"
20,200,JAC_L1,Jacarei,,,Budweiser_Lata,12 Oz Standard,2026-12-09 06:00:00.000,"3354,62"
21,200,JAC_L1,Jacarei,,,H2OH_Limao,12 Oz Standard,2026-12-09 06:00:00.000,"38088,07"
