id,scenario_id,production_line,plant,ref_date,rate,sku_size_shape
1,200,JAC_L1,Jacarei,2026-12-01 06:00:00.000,1608,12 Oz Standard
2,200,JAC_L1,Jacarei,2026-12-02 06:00:00.000,1433,12 Oz Standard
3,200,JAC_L1,Jacarei,2026-12-03 06:00:00.000,1576,12 Oz Standard
4,200,JAC_L1,Jacarei,2026-12-04 06:00:00.000,1712,12 Oz Standard
5,200,JAC_L1,Jacarei,2026-12-05 06:00:00.000,1567,12 Oz Standard
6,200,JAC_L1,Jacarei,2026-12-06 06:00:00.000,1614,12 Oz Standard
7,200,JAC_L1,Jacarei,2026-12-07 06:00:00.000,1521,12 Oz Standard
8,200,JAC_L1,Jacarei,2026-12-08 06:00:00.000,1580,12 Oz Standard
9,200,JAC_L1,Jacarei,2026-12-09 06:00:00.000,1581,12 Oz Standard
10,200,JAC_L1,Jacarei,2026-12-10 06:00:00.000,1715,12 Oz Standard
11,200,JAC_L1,Jacarei,2026-12-11 06:00:00.000,1498,12 Oz Standard
12,200,JAC_L1,Jacarei,2026-12-12 06:00:00.000,1623,12 Oz Standard
13,200,JAC_L1,Jacarei,2026-12-13 06:00:00.000,1595,12 Oz Standard
14,200,JAC_L1,Jacarei,2026-12-14 06:00:00.000,1657,12 Oz Standard
15,200,JAC_L1,Jacarei,2026-12-15 06:00:00.000,1509,12 Oz Standard
16,200,JAC_L2,Jacarei,2026-12-01 06:00:00.000,1631,12 Oz Standard
17,200,JAC_L2,Jacarei,2026-12-02 06:00:00.000,1679,12 Oz Standard
18,200,JAC_L2,Jacarei,2026-12-03 06:00:00.000,1630,12 Oz Standard
19,200,JAC_L2,Jacarei,2026-12-04 06:00:00.000,1592,12 Oz Standard
20,200,JAC_L2,Jacarei,2026-12-05 06:00:00.000,1811,12 Oz Standard
21,200,JAC_L2,Jacarei,2026-12-06 06:00:00.000,1640,12 Oz Standard
22,200,JAC_L2,Jacarei,2026-12-07 06:00:00.000,1518,12 Oz Standard
23,200,JAC_L2,Jacarei,2026-12-08 06:00:00.000,1539,12 Oz Standard
24,200,JAC_L2,Jacarei,2026-12-09 06:00:00.000,1555,12 Oz Standard
25,200,JAC_L2,Jacarei,2026-12-10 06:00:00.000,1627,12 Oz Standard
26,200,JAC_L2,Jacarei,2026-12-11 06:00:00.000,1506,12 Oz Standard
27,200,JAC_L2,Jacarei,2026-12-12 06:00:00.000,1587,12 Oz Standard
