id,production_line,plant,storage_limit
1,JAC_L1,Jacarei,119145
2,JAC_L2,Jacarei,145142
3,JAC_L3,Jacarei,147309
4,EXT_L1,Extrema,119767
5,EXT_L2,Extrema,166842
6,EXT_L3,Extrema,180369
7,TRE_L1,Tres Rios,147958
8,TRE_L2,Tres Rios,98953
9,TRE_L3,Tres Rios,164650
10,ALA_L1,Alagoinhas,166505
11,ALA_L2,Alagoinhas,158822
12,ALA_L3,Alagoinhas,148837
13,FRU_L1,Frutal,164305
14,FRU_L2,Frutal,130924
15,FRU_L3,Frutal,183156
16,POU_L1,Pouso Alegre,144287
17,POU_L2,Pouso Alegre,172781
18,POU_L3,Pouso Alegre,157589
19,GAM_L1,Gama,134438
20,GAM_L2,Gama,149573
21,GAM_L3,Gama,151571
22,VIA_L1,Viamao,158163
23,VIA_L2,Viamao,170288
24,VIA_L3,Viamao,153951
25,ITU_L1,Itupeva,124317
26,ITU_L2,Itupeva,128861
27,ITU_L3,Itupeva,136934
28,CAB_L1,Cabo de Santo Agostinho,171010
29,CAB_L2,Cabo de Santo Agostinho,161657
30,CAB_L3,Cabo de Santo Agostinho,162225
