id,scenario_id,production_line,plant,ref_date,rate,sku_size_shape
1,200,JAC_L1,Jacarei,2026-12-01 06:00:00.000,1754,12 Oz Standard
2,200,JAC_L1,Jacarei,2026-12-02 06:00:00.000,1596,12 Oz Standard
3,200,JAC_L1,Jacarei,2026-12-03 06:00:00.000,1498,12 Oz Standard
4,200,JAC_L1,Jacarei,2026-12-04 06:00:00.000,1627,12 Oz Standard
5,200,JAC_L1,Jacarei,2026-12-05 06:00:00.000,1455,12 Oz Standard
6,200,JAC_L1,Jacarei,2026-12-06 06:00:00.000,1499,12 Oz Standard
7,200,JAC_L1,Jacarei,2026-12-07 06:00:00.000,1621,12 Oz Standard
8,200,JAC_L1,Jacarei,2026-12-08 06:00:00.000,1593,12 Oz Standard
9,200,JAC_L1,Jacarei,2026-12-09 06:00:00.000,1582,12 Oz Standard
10,200,JAC_L1,Jacarei,2026-12-10 06:00:00.000,1500,12 Oz Standard
11,200,JAC_L1,Jacarei,2026-12-11 06:00:00.000,1629,12 Oz Standard
12,200,JAC_L1,Jacarei,2026-12-12 06:00:00.000,1603,12 Oz Standard
13,200,JAC_L1,Jacarei,2026-12-13 06:00:00.000,1540,12 Oz Standard
14,200,JAC_L1,Jacarei,2026-12-14 06:00:00.000,1566,12 Oz Standard
15,200,JAC_L1,Jacarei,2026-12-15 06:00:00.000,1614,12 Oz Standard
16,200,JAC_L2,Jacarei,2026-12-01 06:00:00.000,1670,12 Oz Standard
17,200,JAC_L2,Jacarei,2026-12-02 06:00:00.000,1530,12 Oz Standard
18,200,JAC_L2,Jacarei,2026-12-03 06:00:00.000,1733,12 Oz Standard
19,200,JAC_L2,Jacarei,2026-12-04 06:00:00.000,1750,12 Oz Standard
20,200,JAC_L2,Jacarei,2026-12-05 06:00:00.000,1649,12 Oz Standard
21,200,JAC_L2,Jacarei,2026-12-06 06:00:00.000,1654,12 Oz Standard
22,200,JAC_L2,Jacarei,2026-12-07 06:00:00.000,1738,12 Oz Standard
23,200,JAC_L2,Jacarei,2026-12-08 06:00:00.000,1529,12 Oz Standard
24,200,JAC_L2,Jacarei,2026-12-09 06:00:00.000,1600,12 Oz Standard
25,200,JAC_L2,Jacarei,2026-12-10 06:00:00.000,1611,12 Oz Standard
26,200,JAC_L2,Jacarei,2026-12-11 06:00:00.000,1636,12 Oz Standard
27,200,JAC_L2,Jacarei,2026-12-12 06:00:00.000,1728,12 Oz Standard
28,200,JAC_L2,Jacarei,2026-12-13 06:00:00.000,1602,12 Oz Standard
29,200,JAC_L2,Jacarei,2026-12-14 06:00:00.000,1583,12 Oz Standard
30,200,JAC_L2,Jacarei,2026-12-15 06:00:00.000,1595,12 Oz Standard
31,200,JAC_L3,Jacarei,2026-12-01 06:00:00.000,1632,12 Oz Standard
32,200,JAC_L3,Jacarei,2026-12-02 06:00:00.000,1596,12 Oz Standard
33,200,JAC_L3,Jacarei,2026-12-03 06:00:00.000,1662,12 Oz Standard
34,200,JAC_L3,Jacarei,2026-12-04 06:00:00.000,1625,12 Oz Standard
35,200,JAC_L3,Jacarei,2026-12-05 06:00:00.000,1693,12 Oz Standard
36,200,JAC_L3,Jacarei,2026-12-06 06:00:00.000,1390,12 Oz Standard
37,200,JAC_L3,Jacarei,2026-12-07 06:00:00.000,1614,12 Oz Standard
38,200,JAC_L3,Jacarei,2026-12-08 06:00:00.000,1638,12 Oz Standard
39,200,JAC_L3,Jacarei,2026-12-09 06:00:00.000,1607,12 Oz Standard
40,200,JAC_L3,Jacarei,2026-12-10 06:00:00.000,1666,12 Oz Standard
41,200,JAC_L3,Jacarei,2026-12-11 06:00:00.000,1575,12 Oz Standard
42,200,JAC_L3,Jacarei,2026-12-12 06:00:00.000,1547,12 Oz Standard
43,200,JAC_L3,Jacarei,2026-12-13 06:00:00.000,1526,12 Oz Standard
44,200,JAC_L3,Jacarei,2026-12-14 06:00:00.000,1639,12 Oz Standard
45,200,JAC_L3,Jacarei,2026-12-15 06:00:00.000,1649,12 Oz Standard
46,200,EXT_L1,Extrema,2026-12-01 06:00:00.000,1532,16 Oz Tall
47,200,EXT_L1,Extrema,2026-12-02 06:00:00.000,1621,16 Oz Tall
48,200,EXT_L1,Extrema,2026-12-03 06:00:00.000,1566,16 Oz Tall
